Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Clubhouse,Fridge,Sauna,Squash Court,Tennis Court,Badminton Court,Parking,Security,Balcony,Renovated,Aircon,Swimming Pool,Wading Pool,Playground,Washer,BBQ","1,399 sqft (built up)","- Big and Spacious
- Newly renovated kitchen
- Good layout living room
- Partially Furnished
- Quiet and Surrounded by Nature
- Big and Windy Balcony
- Full facilities
- Lifestyle living
- High Ceiling
- Accessible by Shuttle bus to MRT

For viewing, please call Clarie Lee @ 91153945",D21,,,,,,Flexible,Clementi Park,2 Baths,2 Beds,,S$1.93 psf,"S$2,700/mo",https://www.99.co/singapore/rent/property/clementi-park-condo-tiHzzocjes8ibmfXWjA5Y5
"Function Room,Stove,Fridge,Jacuzzi,Tennis Court,Oven,Parking,Security,Balcony,Pavilion,Renovated,Closet,Swimming Pool,TV,Sofa,Pool Deck,Bed,Aircon,Playground,Fitness Corner,High Floor,Washer,Sky Terrace,Gym,BBQ",549 sqft (built up),"- High Floor
- Unblocked View
- Immediate
- Move in condition
- Fully Furnished
- Balcony
- Well Renovated
- Located In The Prime District Of Orchard Road

For viewing, please call Clarie Lee @ 91153945",D09,,,,,,Flexible,The Laurels,2 Baths,1 Bed,,S$6.56 psf,"S$3,600/mo",https://www.99.co/singapore/rent/property/the-laurels-condo-sXANjDezx3GMPE3UPGjfTT
"Renovated,Aircon,Gym,Fridge,Jacuzzi,Playground,Fitness Corner,Parking,High Floor,Washer,Balcony,Lap Pool,Security,BBQ,Closet","1,302 sqft (built up)","- Minutes to Clementi MRT
- Unblock View
- High Floor
- Partial Furnished 
- Bright & Breeze
- Well Renovated
- Near Amenities
- Full Condo Facilities
- Near top schools

For viewing, please call Clarie Lee @ 91153945",D05,,,,,,Flexible,The Parc Condominium,3 Baths,3 Beds,,S$3.26 psf,"S$4,250/mo",https://www.99.co/singapore/rent/property/the-parc-condominium-condo-tVQC4LnWmKhaeaSF6Kooqk
"Bomb Shelter,Renovated,Aircon,TV,Sofa,Fridge,Bed,High Floor,Washer",753 sqft (built up),"- Yishun MRT just opposite
- 1 minute walk to Northpoint City and Hawker centers
- High Floor
- Bright and Breeze
- Fully Furnished
- Well-Renovated

For viewing, please call Clarie Lee @ 91153945",D27,,,,,,Flexible,745 Yishun Street 72,2 Baths,2 Beds,,S$2.79 psf,"S$2,100/mo",https://www.99.co/singapore/rent/property/745-yishun-street-72-hdb-9BUytY4nGDfyF4cSaVfWfK
"Stove,Walk In Closet,Oven,Outdoor Dining,Balcony,Renovated,Closet,TV,Lounge,Wading Pool,Playground,Dining Room Furniture,Washer,Pool View,BBQ,Gym,Fridge,Meeting Room,Tennis Court,Aircon,Hammocks,Sofa,Open Terrace,Bed,Spa Pool,Fitness Corner,Bathtub,Lap Pool,Spa Pavilion",861 sqft (built up),"- Spacious 2 Bedroom with additional Loft unit
- Fully Furnished
- Pool View
- Move in condition
- Available Immediately  
- Bright & Breezy
- Minutes walk to MRT
- LRT just right at the door step
- Shopping mall & Amenities just below the unit
- Full condo facilities

Hurry! Call Clarie Lee @ 91153945 for viewing today before it is taken!

",D23,,,,Fully Furnished,,Flexible,The Tennery,2 Baths,2 Beds,,S$3.48 psf,"S$3,000/mo",https://www.99.co/singapore/rent/property/the-tennery-condo-bcHGVfpVVPA6Mi8ei4MAHE
"Clubhouse,Renovated,Closet,Swimming Pool,TV,Sofa,Stove,Fridge,Bed,Aircon,Jacuzzi,Playground,Oven,Dining Room Furniture,High Floor,Washer,Bathtub,Gym,BBQ,Tennis Court",893 sqft (built up),"Hurry! Call Clarie Lee @ 91153945 for viewing before it's taken!

- High Floor
- Unblock Serene (From living room: can see cruise, fireworks etc. Master bedroom: large reflective pools and golf view)
- Well renovated & Move in condition
- Spacious 2 bedder unit
- Bright & Windy
- Fully Furnished

A unit that you would not want to miss!
Call Clarie Lee @ 91153945 for viewing today!
",D04,,,,,,Flexible,Reflections At Keppel Bay,2 Baths,2 Beds,,S$5.04 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/reflections-at-keppel-bay-condo-tvPV5p6aR5dSHSabnpWTK
"Jogging Track,Clubhouse,Pool Deck,Gym,Spa Pavilion,Jacuzzi,Tennis Court,Outdoor Dining,Fun Pool,Renovated,Aircon,Open Terrace,Lounge,Washer,Lap Pool,Hydrotherapy Pool",614 sqft (built up),"- Walking distance to MRT
- Well Renovated
- Spacious with good layout
- Good view and breezy
- Partially/Fully furnished 

**Multiple units available
Call Clarie Lee at 9115 3945 for viewing! ",D03,,,,,,Flexible,The Crest,1 Bath,1 Bed,,S$7.33 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/the-crest-condo-8b2qLaXQbEqjkkS3f6wZse
"Clubhouse,Gym,Fridge,Jacuzzi,Oven,Outdoor Dining,Balcony,Multi-purpose Hall,Pavilion,Renovated,Closet,Mini Golf Range,TV,Pool Deck,Bed,Lounge,Aircon,Wading Pool,Hydrotherapy Pool,Fitness Corner,High Floor,Washer,Lap Pool,BBQ",700 sqft (built up),"Call Clarie Lee @ 91153945 today!

*Multiple units available! One View, View All! * 

- MRT within 1 min walking distance
- Brand New
- High Floor
- Fully Furnished 
- Bright and Breeze

For viewing, please call Clarie Lee @ 91153945",D01,,,,,,Flexible,Marina One Residences,1 Bath,1 Bed,,S$5.00 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/marina-one-residences-condo-3jFxSfqokxNMAtQDehJshM
"Penthouse,Jacuzzi,Renovated,Aircon,TV,High Floor,Gym,Lap Pool,Fridge","2,928 sqft (built up)","- Minutes walk to Newton MRT
- Walking distance to famous shopping district
- Prime Location
- City view
- Concierge Services available
- Partially/fully furnished
- Big and Spacious
- Unblock view 

**Multiple units available:-
1 bedder, 2 bedder , 3 bedder Penthouse

Call Clarie Lee at 9115 3945 for viewing !",D09,,,,,,Flexible,The Scotts Tower,2 Baths,3 Beds,,S$5.46 psf,"S$16,000/mo",https://www.99.co/singapore/rent/property/the-scotts-tower-condo-wX8yAuWkXvGrJaKeb2C97Q
"Function Room,Sky Lounge,Gym,Fridge,Spa Pavilion,Sauna,Tennis Court,Parking,Security,Balcony,Yoga Corner,Pavilion,Renovated,Aircon,TV,Sofa,Pool Deck,Bed,Lounge,Swimming Pool,Wading Pool,Playground,Fitness Corner,High Floor,Washer,Sky Terrace",581 sqft (built up),"- High Floor
- Unblock View
- Minutes to MRT
- Well-maintained
- Partially furnished
- Near to various mall
- Bright and Windy

*Multiple units available. 

For viewing, please call Clarie Lee @ 91153945 
",,,,,,,Flexible,Soleil @ Sinaran,1 Bath,1 Bed,,S$5.51 psf,"S$3,200/mo",https://www.99.co/singapore/rent/property/soleil-sinaran-condo-7yjcqi9KmNW7R6avqdRdZ4
"Stove,Fridge,Low Floor,Pond,Security,Balcony,Fun Pool,Jet Pool,Aircon,TV,Sofa,Pool Deck,Bed,Lap Pool,Utility Room,Hydrotherapy Pool,Playground,Fitness Corner,Dining Room Furniture,Washer,Fibre Ready,Reflexology Path,BBQ,Hydrotherapy Pool",420 sqft (built up),"**** For Rent: 1-bedroom apartment at CASA CAMBIO, along Lim Tua Tow Rd, Serangoon ****
**** Available Soon! BE THE FIRST TO VIEW & SECURE THIS GOOD LAYOUT APARTMENT ****

Location: 9 Lim Tua Tow Rd, CASA CAMBIO, Singapore 547726
~1 proper bedroom with attached bathroom
~39 sqm / 420 sqft
~Low floor
~Efficient layout
~No bay windows, no planters
~Furnished
~Rental: $1,800
~No Agent Fees payable for direct tenant!
~Available soon. View now to secure apartment!

Located close to:
1/ Bus stop for services no. 24, 76, 80-82, 101, 103, 107, 136, 153, 317
2/ Upper Serangoon Shopping Center
3/ Amenities, eateries

~Contact (agt) Neil @ 96910196 for viewing. Co-broke welcome. 
~See my other listings in http://www.propertyneil.com",D19,,,,Fully Furnished,,24 months,Casa Cambio,1 Bath,1 Bed,Not Allowed,S$4.29 psf,"S$1,800/mo",https://www.99.co/singapore/rent/property/casa-cambio-condo-EMc8j67qJmhv3VnUt89bNK
"Bomb Shelter,Fibre Ready,Renovated,Closet,Sofa,Fridge,Bed,Aircon,Dining Room Furniture,High Floor,Washer,Corner Unit",731 sqft (built up),"No owner and nicely renovated master bdrm with attached toilet or common room for rent. Fully furnished with aircon, beds, wardrobe, furniture, fridge, washer, fan & wifi etc. Cooking allowed. Option to lease whole 2bdrm unit or master bdrm or common room. Welcome small family, couple or professionals.Master room $1,000/ common room $700.  Francis 90616767.

Buy/Sell/Rental. 
Welcome enquiries from Owners/Sellers/Renters of private property or HDB. If you wish to sell/buy/rent please contact me Francis @ hp 9061 6767.",D20,All races welcome,,,Fully Furnished,,12 months,607 Ang Mo Kio Avenue 4,2 Baths,2 Beds,,S$2.39 psf,"S$1,750/mo",https://www.99.co/singapore/rent/property/607-ang-mo-kio-avenue-4-hdb-CTyfWZwd9kJRYKXqPZEK4A
"Renovated,Aircon,Fridge,Bed,High Floor,Washer,Fibre Ready,Closet",861 sqft (built up),"Fully furnished 3 bdrm unit with aircon. Near food centres, shops, Bishan Park and bus stops. Max 6 pax. Welcome enquiries. Francis 9061 6767.",D20,All races welcome,,,Fully Furnished,,12 months,215 Ang Mo Kio Avenue 1,2 Baths,3 Beds,,S$2.21 psf,"S$1,900/mo",https://www.99.co/singapore/rent/property/215-ang-mo-kio-avenue-1-hdb-pj6Vg95xuJUsBNg83ymyMc
"Games Room,Water Feature,Spa Pavilion,Pond,Sky Terrace,Balcony,Fun Pool,Renovated,Closet,Pool Deck,Wading Pool,Playground,Dining Room Furniture,Washer,Fibre Ready,BBQ,Gym,Fridge,Dryer,Tennis Court,Undrewater Fitness Station,Multi-purpose Hall,Jet Pool,Yoga Corner,Aircon,Bed,Viewing Deck,Mini Golf Range,Waterfall,Fitness Corner,High Floor,Retail Shops,Lap Pool",434 sqft (built up),"Brand new 1 bdrm private condo with full condo facilities. High floor with pool view just TOP. Everything is NEW!!. Welcome enquiry Francis 9061 6767. Developer appointed Marketing agent.

BUY / SELL / RENT
Welcome enquires 
Francis 9061 6767",D19,All races welcome,,,,,Flexible,Kingsford Waterbay,1 Bath,1 Bed,,S$4.61 psf,"S$2,000/mo",https://www.99.co/singapore/rent/property/kingsford-waterbay-condo-5ZhJbam22sHLc33N54uj39
"Games Room,Water Feature,Stove,Spa Pavilion,Oven,Pond,Sky Terrace,Balcony,Fun Pool,Bomb Shelter,Renovated,Closet,TV,Pool Deck,Wading Pool,Playground,Dining Room Furniture,Washer,Fibre Ready,BBQ,Gym,Fridge,Dryer,Tennis Court,Undrewater Fitness Station,Multi-purpose Hall,Jet Pool,Yoga Corner,Aircon,Bed,Viewing Deck,Mini Golf Range,Waterfall,Fitness Corner,Retail Shops,Lap Pool",485 sqft (built up),"Newly TOP brand new unit for rental. 1 bdrm with living hall, kitchen and balcony. Project located next to river, near supermarket, foodcourts, convenient stores. There are convenient stores, shops and childcare within the condo compound serving the condo residents. Great living environment. Welcome enquiry. Contacct Developer appointed marketing agent Francis 9061 6767.

BUY / SELL / RENT
Welcome enquires 
Francis 9061 6767.",D19,All races welcome,,,,,12 months,Kingsford Waterbay,1 Bath,1 Bed,,S$4.54 psf,"S$2,200/mo",https://www.99.co/singapore/rent/property/kingsford-waterbay-condo-BXNKxbWwFseZo4irJnrVeF
"Games Room,Water Feature,Stove,Spa Pavilion,Yoga Corner,Oven,Pond,Sky Terrace,Balcony,Fun Pool,Renovated,Closet,TV,Pool Deck,Wading Pool,Playground,Washer,Pool View,BBQ,Gym,Fridge,Dryer,Tennis Court,Undrewater Fitness Station,Multi-purpose Hall,Jet Pool,Fibre Ready,Aircon,Sofa,Bed,Viewing Deck,Mini Golf Range,Waterfall,Fitness Corner,High Floor,Retail Shops,Lap Pool",635 sqft (built up),"Beautiful pool view 2 bdrms unit for rent. Just newly TOP and brand new. Fully furnished with queen bed furnitures and home appliances. Welcome enquiry Francis 9061 6767. 

BUY / SELL / RENT
Welcome enquires 
Francis 9061 6767

We are recruiting !!!
Join the most preferred Real Estate Agency with many supports and training!!!",D19,All races welcome,,,Fully Furnished,,Flexible,Kingsford Waterbay,2 Baths,2 Beds,,S$3.62 psf,"S$2,300/mo",https://www.99.co/singapore/rent/property/kingsford-waterbay-condo-skoMPz8qBwMtj9wKB2gqbj
"Renovated,Closet,TV,Sofa,Stove,Fridge,Bed,Aircon,High Floor,Washer,Fibre Ready","1,450 sqft (built up)","Spacious Executive Apartment walk 5mins to Sengkang MRT and compass One Mall. Aircon anc fully furnished. Welcome family or professionals. Contact Francis 9061 6767.

BUY / SELL / RENT
Welcome enquires 
Francis 9061 6767",D19,All races welcome,,,Fully Furnished,,12 months,226C Compassvale Walk,2 Baths,4 Beds,,S$1.72 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/226c-compassvale-walk-hdb-NxksHwgXRRGNsLTqg28VNM
"Clubhouse,Stove,Fridge,Jacuzzi,Tennis Court,Parking,Security,Fun Pool,Pavilion,Renovated,Aircon,Swimming Pool,Wading Pool,Spa Pool,Playground,Fitness Corner,High Floor,Washer,Fibre Ready,Lap Pool,Gym,BBQ,Hydrotherapy Pool",775 sqft (built up),"Nice and beautiful 2 bdrm condo with full condo facilities. 3 mins walk to Punggol MRT and Waterway Point mall. Partially furnised. Available immediately. Welcome family or professionals. Contact Francis 9061 6767.

BUY / SELL / RENT
Welcome enquires 
Francis 9061 6767",D19,,,,Partially Furnished,,12 months,A Treasure Trove,2 Baths,2 Beds,,S$2.97 psf,"S$2,300/mo",https://www.99.co/singapore/rent/property/a-treasure-trove-condo-bCav9kjRueBiDc2rhsTuQa
"Bomb Shelter,Renovated,Closet,TV,Sofa,Stove,Fridge,Bed,Aircon,Dining Room Furniture,High Floor,Washer,Fibre Ready",750 sqft (built up),"Near future MRT. Renovated and nice cozy home for rent. Opp market  and shops catering to all races including Indian produces. Queen bed, wardrobe, furniture. Fully furnished with washer, fridge and water heater etc. Available immediately. Contact Francis 9061 6767.

BUY / SELL / RENT
Welcome enquires 
Francis 9061 6767

We are recruiting !!!
Join the most preferred Real Estate Agency with many supports and training!!!",D20,All races welcome,,,Fully Furnished,,Flexible,172 Ang Mo Kio Avenue 4,1 Bath,1 Bed,,S$1.80 psf,"S$1,350/mo",https://www.99.co/singapore/rent/property/172-ang-mo-kio-avenue-4-hdb-TcFXBoiPWSazyGwdpr8dYE
"Function Room,Water Feature,Spa Pavilion,Water Channel,Oven,Pond,Outdoor Dining,Balcony,Fun Pool,Lap Pool,City View,Renovated,TV,Greenery View,Lounge,Fountain,Playground,Washer,Pool View,BBQ,Gym,Fridge,Tennis Court,Undrewater Fitness Station,Aircon,Hammocks,Maid Room,Sofa,Bed,Viewing Deck,Swimming Pool,Fitness Corner,High Floor,Reflexology Path",625 sqft (built up),"BEST DEAL! One Of The Best 2 Bedder For Rent Just Above NorthPoint City!!

- Brand New Just Collected Keys, Be the First To Live In It!
- MRT and Shopping Malls At Your Doorstep!
- High Floor with Stunning View!
- Excellent Layout With Spacious Rooms!
- Option of Partial and Fully Furnished!
- One Of The Best Stack! Bright and Windy!
- No Agency Fee For Direct Tenants!


Hurry Call Dylan @ 8222 2257 Now!

Dylan Poh Wei Kong 
Group Director  
Propnex Ambassador  
Propnex Realty Pte Ltd  
Mobile: 8222 2257 
",D27,,East,,,,Flexible,North Park Residences,1 Bath,2 Beds,,S$3.84 psf,"S$2,399/mo",https://www.99.co/singapore/rent/property/north-park-residences-condo-9hYp3zPUsDgNEj79i3cxJP
"Clubhouse,Function Room,Loft,Water Feature,Gym,Fridge,Dual Key,Sea View,Oven,Outdoor Dining,Balcony,City View,Yoga Corner,Aircon,Swimming Pool,TV,Jet Pool,Bed,Viewing Deck,Lounge,Mini Golf Range,Jacuzzi,Playground,Fitness Corner,High Floor,Reflexology Path,BBQ",240 sqft (built up),"Newly Furnish Units
★ Studio Unit for rent 
★ 2 Bedroom Dual-key – Brand new unit, Be the first Tenant! 
★ Altneratively, you can rent this whole unit together with your friends.
★	Just TOP! Keys on hand!
★	Superb Location at Beach Road, District 07
★	Immediate Occupation
★	Bright unit with open unblocked view. 
★	Sea View, no afternoon sun
★	Balcony
★	Functional Layout
★	Good Size Living room & Bedroom
★	Open concept Kitchen
★	Relax & Pamper with the full Condo facilities
★	High End appliances – Gaggenau Fridge, hood and Hob, Bosch oven, Washing machine cum dryers
★	Multiple units for viewing - Studio/1/2/2-(DK)/3(DK)

=== About City Gate Residences ===
★City Gate is located at the junction of Beach Road / Jalan Sultan Singapore.
★99-year
★ Located within City Gate Mall (188 Retail Units)
★ With extensive bus service
★ Link to Nicoll Highway MRT Station (5 min) by overhead bridge and close to Bugis and Lavender MRT Station
★ Conveniently near to array of amenities such as retail shops, restaurants, cafes, bank, shopping malls & many more, such as Golden Mile Shopping Complex, Bugis Junction, Bugis+, Sim Lim Square and etc
★ 4 stops to Dhoby Ghaut, Raffles Place and Paya Lebar Interchange
★ Well connected to KPE, ECP and MCE. Short drive to CBD and Orchard Road. 
★ Less than 10 min to Suntec City and Suntec office tower, home to many MNC. 

Call Mindy at 92781288 for an exclusive viewing",D07,,South,,,Yes,24 months,City Gate,1 Bath,Studio,Not Allowed,S$7.50 psf,"S$1,800/mo",https://www.99.co/singapore/rent/property/city-gate-condo-Qzpgkfr3uUxkcJMx2kwFrG
